group: thresh_pba_dzn_normalize
root: dow_jones
desc: thresh_dzn


debug: s
                           pba_oc_return_fth_of_xact  \
                           pba_oc_return_fth_of_xact  \
id                                                     
1998-01-02 14:00:00+00:00                   0.352433   
1998-01-02 15:00:00+00:00                   0.345569   
1998-01-02 16:00:00+00:00                  -0.107824   
1998-01-02 17:00:00+00:00                   0.334784   
1998-01-02 18:00:00+00:00                  -0.246872   
1998-01-02 19:00:00+00:00                  -0.260263   
1998-01-02 20:00:00+00:00                   1.313264   
1998-01-02 21:00:00+00:00                   0.020690   
1998-01-05 14:00:00+00:00                   0.230154   
1998-01-05 15:00:00+00:00                   1.159685   
1998-01-05 16:00:00+00:00                   0.527979   
1998-01-05 17:00:00+00:00                  -0.044383   
1998-01-05 18:00:00+00:00                  -1.114297   
1998-01-05 19:00:00+00:00                   0.374166   
1998-01-05 20:00:00+00:00                  -0.412159   
1998-01-05 21:00:00+00:00                  -0.001714   
1998-01-06 14:00:00+00:00                  -0.331069   
1998-01-06 15:00:00+00:00                  -0.526162   
1998-01-06 16:00:00+00:00                  -0.951418   
1998-01-06 17:00:00+00:00                   0.414088   

                           pba_oa_return_fth_of_xact  \
id                                                     
1998-01-02 14:00:00+00:00                   0.871956   
1998-01-02 15:00:00+00:00                  -0.095904   
1998-01-02 16:00:00+00:00                  -0.083304   
1998-01-02 17:00:00+00:00                   0.275522   
1998-01-02 18:00:00+00:00                  -0.170589   
1998-01-02 19:00:00+00:00                  -0.385939   
1998-01-02 20:00:00+00:00                   0.641981   
1998-01-02 21:00:00+00:00                   0.029275   
1998-01-05 14:00:00+00:00                   0.316297   
1998-01-05 15:00:00+00:00                   1.194188   
1998-01-05 16:00:00+00:00                   0.240387   
1998-01-05 17:00:00+00:00                   0.006275   
1998-01-05 18:00:00+00:00                  -0.697360   
1998-01-05 19:00:00+00:00                  -0.126794   
1998-01-05 20:00:00+00:00                  -0.935458   
1998-01-05 21:00:00+00:00                  -0.002186   
1998-01-06 14:00:00+00:00                  -0.694633   
1998-01-06 15:00:00+00:00                  -0.573226   
1998-01-06 16:00:00+00:00                  -0.560466   
1998-01-06 17:00:00+00:00                   0.450418   

                           pba_lh_return_fth_of_xact  
id                                                    
1998-01-02 14:00:00+00:00                  -0.262449  
1998-01-02 15:00:00+00:00                  -0.023707  
1998-01-02 16:00:00+00:00                  -0.754304  
1998-01-02 17:00:00+00:00                  -0.711500  
